X,Y
-17.85,27.73
-11.58,17.75
-37.93,-22.56
-37.93,-22.56
-37.93,-22.56
17.87,-11.22
17.87,-11.22
17.87,-11.22
17.87,-11.22
-51.51,-36.49
-51.51,-36.49
-51.51,-36.49
-51.51,-36.49
-143.04,8.15
-143.04,8.15
-143.04,8.15
-143.04,8.15
39.41,-0.45
39.41,-0.45
39.41,-0.45
39.41,-0.45
39.64,42.62
39.64,42.62
39.64,42.62
46.34,-9.41
41.81,-10.33
41.81,-10.33
41.81,-10.33
33.31,-10.86
33.31,-10.86
33.31,-10.86
33.31,-10.86
-34.85,-41.27
-34.85,-41.27
-34.85,-41.27
-34.85,-41.27
-38.14,-18.79
-38.14,-18.79
-38.14,-18.79
-38.14,-18.79
-11.85,-23.27
-11.85,-23.27
-11.85,-23.27
-168.07,-23.42
-150.71,25.41
-150.71,25.41
-150.71,25.41
142.56,-11.49
142.56,-11.49
142.56,-11.49
142.56,-11.49
-155.47,54.24
-155.47,54.24
-155.47,54.24
-155.47,54.24
-174.70,51.79
-174.70,51.79
-174.70,51.79
-6.42,3.27
47.30,1.98
47.30,1.98
47.30,1.98
44.60,6.80
13.17,9.32
13.17,9.32
13.17,9.32
-37.34,-20.21
-37.34,-20.21
-37.34,-20.21
-37.34,-20.21
11.45,6.36
11.45,6.36
11.45,6.36
11.45,6.36
-146.69,-22.70
-146.69,-22.70
-146.69,-22.70
-146.69,-22.70
-150.19,24.61
-150.19,24.61
-150.19,24.61
-38.69,4.20
50.82,3.22
50.82,3.22
50.82,3.22
146.25,46.57
146.25,46.57
146.25,46.57
146.25,46.57
30.20,44.38
30.20,44.38
30.20,44.38
30.20,44.38
29.62,-0.39
29.62,-0.39
29.62,-0.39
29.62,-0.39
-9.28,-42.85
-9.28,-42.85
-9.28,-42.85
-9.28,-42.85
13.47,-31.59
13.47,-31.59
13.47,-31.59
13.47,-31.59
-28.10,15.23
-28.10,15.23
-28.10,15.23
-168.40,21.62
-137.18,16.01
-137.18,16.01
-137.18,16.01
62.35,-23.22
62.35,-23.22
62.35,-23.22
62.35,-23.22
30.65,34.28
30.65,34.28
